,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
0,D00002,55.0,120.0,0.6,1065,400.0,160.0,JQ
1,D00002,63.0,115.0,0.6,1125,330.0,160.0,JQ
2,D00002,51.0,125.0,0.6,1000,420.0,160.0,JQ
3,D00002,50.0,120.0,0.6,1080,400.0,160.0,JQ
4,D00002,55.0,120.0,0.6,1020,435.0,160.0,JQ
5,D00003,28.0,228.0,0.6,1110,300.0,170.0,JQ
6,D00003,28.0,220.0,0.7,1130,290.0,170.0,JQ
7,D00003,27.0,215.0,0.6,1250,320.0,170.0,JQ
8,D00003,30.0,215.0,0.6,1070,300.0,180.0,JQ
9,D00003,27.0,215.0,0.6,1080,300.0,155.0,JQ
10,D00004,45.0,190.0,0.55,1190,356.7,185.0,JQ
11,D00004,115.0,195.0,0.6,1130,356.7,167.0,JQ
12,D00004,110.0,195.0,0.6,1135,356.7,160.0,JQ
13,D00004,110.0,195.0,0.6,1135,356.7,160.0,JQ
14,D00004,100.0,190.0,0.6,1150,356.7,155.0,JQ
15,D00004,110.0,195.0,0.6,1140,356.7,165.0,JQ
16,D00004,80.0,230.0,0.7,1150,356.7,170.0,JQ
17,D00004,115.0,195.0,0.7,1200,375.0,155.0,JQ
18,D00004,100.0,190.0,0.6,1200,375.0,155.0,JQ
19,D00004,110.0,195.0,0.6,1175,375.0,167.0,JQ
20,D00004,110.0,195.0,0.6,1175,375.0,167.0,JQ
21,D00004,105.0,185.0,0.6,1210,356.7,155.0,JQ
22,D00004,110.0,200.0,0.53,1180,356.7,115.0,JQ
23,D00004,115.0,195.0,0.6,1165,356.7,115.0,JQ
24,D00004,110.0,195.0,0.6,1150,356.7,155.0,JQ
25,D00004,115.0,195.0,0.6,1135,356.7,155.0,JQ
26,D00004,110.0,195.0,0.7,1125,356.7,160.0,JQ
27,D00004,110.0,195.0,0.6,1125,356.7,167.0,JQ
28,D00004,113.0,190.0,0.6,1135,356.7,167.0,JQ
29,D00005,95.0,68.0,0.6,1480,480.0,150.0,JQ
30,D00005,80.0,48.0,0.9,1350,300.0,150.0,JQ
31,D00005,82.0,50.0,0.8,1330,300.0,150.0,JQ
32,D00005,82.0,50.0,0.8,1330,300.0,140.0,JQ
33,D00005,80.0,50.0,1.0,1380,320.0,140.0,JQ
34,D00005,90.0,65.0,0.6,1500,455.0,140.0,JQ
35,D00005,82.0,52.0,1.0,1550,415.0,140.0,JQ
36,D00005,85.0,50.0,1.0,1580,370.0,155.0,JQ
37,D00005,82.0,50.0,1.0,1590,350.0,155.0,JQ
38,D00005,97.0,57.0,0.6,1610,340.0,165.0,JQ
39,D00005,85.0,50.0,1.0,1630,330.0,160.0,JQ
40,D00005,85.0,50.0,1.0,1550,300.0,160.0,JQ
41,D00005,82.0,50.0,1.0,1550,300.0,150.0,JQ
42,D00030,1070.0,350.0,0.7,1120,340.0,175.0,JL
43,D00030,1070.0,345.0,0.7,1220,340.0,170.0,JL
44,D00030,1030.0,360.0,0.7,1210,370.0,170.0,JL
45,D00030,1030.0,350.0,0.7,1120,340.0,170.0,JL
46,D00030,1030.0,350.0,0.7,1220,340.0,170.0,JL
47,D00030,1060.0,350.0,0.6,1190,360.0,170.0,JL
48,D00030,1000.0,370.0,0.6,1170,370.0,155.0,JL
49,D00030,1030.0,360.0,0.6,1170,370.0,164.0,JL
50,D00030,1040.0,360.0,0.6,1170,370.0,168.0,JL
51,D00030,1030.0,350.0,0.6,1160,360.0,165.0,JL
52,D00030,1050.0,350.0,0.7,1210,370.0,170.0,JL
53,D00031,975.0,280.0,0.6,1210,340.0,180.0,JL
54,D00031,890.0,325.0,0.7,1100,370.0,160.0,JL
55,D00031,873.0,327.0,0.5,1100,370.0,160.0,JL
56,D00031,885.0,330.0,0.8,1200,340.0,175.0,JL
57,D00031,850.0,325.0,0.8,1100,370.0,160.0,JL
58,D00031,873.0,327.0,0.5,1100,370.0,160.0,JL
59,D00031,980.0,270.0,0.8,1210,340.0,180.0,JL
60,D00031,970.0,320.0,0.8,1200,340.0,180.0,JL
61,D00031,975.0,325.0,0.7,1210,340.0,180.0,JL
62,D00031,990.0,320.0,0.7,1200,340.0,180.0,JL
63,D00031,970.0,325.0,0.8,1200,340.0,175.0,JL
64,D00031,980.0,350.0,0.6,1210,315.0,160.0,JL
65,D00031,890.0,330.0,0.6,1210,315.0,160.0,JL
66,D00031,910.0,330.0,0.6,1210,315.0,167.0,JL
67,D00032,160.0,330.0,0.8,1180,340.0,175.0,JL
68,D00032,162.0,365.0,0.7,1150,370.0,170.0,JL
69,D00032,163.0,365.0,0.7,1160,370.0,170.0,JL
70,D00032,163.0,365.0,0.8,1150,370.0,170.0,JL
71,D00032,163.0,365.0,0.7,1140,370.0,170.0,JL
72,D00032,165.0,360.0,0.7,1130,360.0,170.0,JL
73,D00032,162.0,360.0,0.65,1135,365.0,170.0,JL
74,D00032,162.0,365.0,0.65,1135,365.0,170.0,JL
75,D00032,162.0,365.0,0.65,1140,370.0,170.0,JL
76,D00032,162.0,365.0,0.65,1140,370.0,170.0,JL
77,D00032,162.0,365.0,0.65,1140,370.0,170.0,JL
78,D00032,162.0,365.0,0.7,1150,370.0,170.0,JL
79,D00032,150.0,335.0,0.6,1080,320.0,160.0,JL
80,D00032,150.0,335.0,0.6,1160,350.0,160.0,JL
81,D00032,150.0,335.0,0.6,1080,320.0,160.0,JL
82,D00032,160.0,345.0,0.65,1160,350.0,170.0,JL
83,D00032,161.0,365.0,0.65,1150,370.0,172.0,JL
84,D00032,163.0,365.0,0.65,1130,355.0,170.0,JL
85,D00032,163.0,365.0,0.65,1150,355.0,170.0,JL
86,D00033,1006.0,257.0,0.6,1180,350.0,170.0,JL
87,D00033,965.0,285.0,0.6,1170,340.0,160.0,JL
