,DesignId,Knit Per cm,Stretch,Courses,PRL,PRW,NeedleSetup,NoBands,YarnType,Count,MperRepeat,Percentage,FRJ,FRP,FRL,MC type
0,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn1,312.0,98.26,9.12,1255,300,190,JL
1,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn7,470.0,308.7,43.17,1255,300,190,JL
2,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn14,156.0,126.6,5.88,1255,300,190,JL
3,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn15,78.0,100.5,2.33,1255,300,190,JL
4,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn19,44.0,617.8,8.09,1255,300,190,JL
5,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn25,44.0,1550.0,27.41,1255,300,190,JL
6,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn26,44.0,1459.0,21.79,1255,300,190,JL
7,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn28,312.0,14.74,1.37,1255,300,190,JL
8,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn30,178.3,590.5,1.0,1255,300,190,JL
9,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn31,44.0,27.68,0.36,1255,300,190,JL
10,D00126,38,0.7,304.0,80.0,30.0,192,60,Yarn33,45.0,55.74,0.75,1255,300,190,JL
11,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn1,78.0,125.0,2.97,1220,330,240,JL
12,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn2,312.0,318.3,30.23,1220,330,240,JL
13,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn7,156.0,368.3,17.49,1220,330,240,JL
14,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn19,44.0,1026.0,13.74,1220,330,240,JL
15,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn25,44.0,1897.0,34.57,1220,330,240,JL
16,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn26,44.0,2249.0,28.34,1220,330,240,JL
17,D00201,35,0.8,390.0,107.0,180.0,192,2,Yarn30,178.3,590.5,1.0,1220,330,240,JL
18,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn1,312.0,172.8,7.74,1220,330,160,JL
19,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn7,470.0,594.6,40.11,1220,330,160,JL
20,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn14,156.0,832.3,18.64,1220,330,160,JL
21,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn19,44.0,1046.0,6.61,1220,330,160,JL
22,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn25,44.0,3042.0,25.9,1220,330,160,JL
23,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn26,44.0,3042.0,20.81,1220,330,160,JL
24,D00215,42,0.7,552.0,132.0,180.0,192,2,Yarn30,178.3,590.5,1.0,1220,330,160,JL
25,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn1,312.0,245.4,15.43,1210,350,220,JL
26,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn1,312.0,245.4,15.43,1210,340,175,JL
27,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn2,334.0,79.17,5.33,1210,350,220,JL
28,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn2,334.0,79.17,5.33,1210,340,175,JL
29,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn5,45.0,46.03,0.42,1210,350,220,JL
30,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn5,45.0,46.03,0.42,1210,340,175,JL
31,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn7,156.0,586.6,18.44,1210,350,220,JL
32,D00300,40,0.6,510.0,128.0,80.0,192,32,Yarn7,156.0,586.6,18.44,1210,340,175,JL
