DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
D00002,55,120,0.6,1065,400,160,JQ
D00002,63,115,0.6,1125,330,160,JQ
D00002,51,125,0.6,1000,420,160,JQ
D00002,50,120,0.6,1080,400,160,JQ
D00002,55,120,0.6,1020,435,160,JQ
D00003,28,228,0.6,1110,300,170,JQ
D00003,28,220,0.7,1130,290,170,JQ
D00003,27,215,0.6,1250,320,170,JQ
D00003,30,215,0.6,1070,300,180,JQ
D00003,27,215,0.6,1080,300,155,JQ
D00004,45,190,0.55,1190,0,185,JQ
D00004,115,195,0.6,1130,0,167,JQ
D00004,110,195,0.6,1135,0,160,JQ
D00004,110,195,0.6,1135,0,160,JQ
D00004,100,190,0.6,1150,0,155,JQ
D00004,110,195,0.6,1140,0,165,JQ
D00004,80,230,0.7,1150,0,170,JQ
D00004,115,195,0.7,1200,375,155,JQ
D00004,100,190,0.6,1200,375,155,JQ
D00004,110,195,0.6,1175,375,167,JQ
D00004,110,195,0.6,1175,375,167,JQ
D00004,105,185,0.6,1210,0,155,JQ
D00004,110,200,0.53,1180,0,115,JQ
D00004,115,195,0.6,1165,0,115,JQ
D00004,110,195,0.6,1150,0,155,JQ
D00004,115,195,0.6,1135,0,155,JQ
D00004,110,195,0.7,1125,0,160,JQ
D00004,110,195,0.6,1125,0,167,JQ
D00004,113,190,0.6,1135,0,167,JQ
D00005,95,68,0.6,1480,480,150,JQ
D00005,80,48,0.9,1350,300,150,JQ
D00005,82,50,0.8,1330,300,150,JQ
D00005,82,50,0.8,1330,300,140,JQ
D00005,80,50,1,1380,320,140,JQ
D00005,90,65,0.6,1500,455,140,JQ
D00005,82,52,1,1550,415,140,JQ
D00005,85,50,1,1580,370,155,JQ
D00005,82,50,1,1590,350,155,JQ
D00005,97,57,0.6,1610,340,165,JQ
D00005,85,50,1,1630,330,160,JQ
D00005,85,50,1,1550,300,160,JQ
D00005,82,50,1,1550,300,150,JQ
D00030,1070,350,0.7,1120,340,175,JL
D00030,1070,345,0.7,1220,340,170,JL
D00030,1030,360,0.7,1210,370,170,JL
D00030,1030,350,0.7,1120,340,170,JL
D00030,1030,350,0.7,1220,340,170,JL
D00030,1060,350,0.6,1190,360,170,JL
D00030,1000,370,0.6,1170,370,155,JL
D00030,1030,360,0.6,1170,370,164,JL
D00030,1040,360,0.6,1170,370,168,JL
D00030,1030,350,0.6,1160,360,165,JL
D00030,1050,350,0.7,1210,370,170,JL
D00031,975,280,0.6,1210,340,180,JL
D00031,890,325,0.7,1100,370,160,JL
D00031,873,327,0.5,1100,370,160,JL
D00031,885,330,0.8,1200,340,175,JL
D00031,850,325,0.8,1100,370,160,JL
D00031,873,327,0.5,1100,370,160,JL
D00031,980,270,0.8,1210,340,180,JL
D00031,970,320,0.8,1200,340,180,JL
D00031,975,325,0.7,1210,340,180,JL
D00031,990,320,0.7,1200,340,180,JL
D00031,970,325,0.8,1200,340,175,JL
D00031,980,350,0.6,1210,315,160,JL
D00031,890,330,0.6,1210,315,160,JL
D00031,910,330,0.6,1210,315,167,JL
D00032,160,330,0.8,1180,340,175,JL
D00032,162,365,0.7,1150,370,170,JL
D00032,163,365,0.7,1160,370,170,JL
D00032,163,365,0.8,1150,370,170,JL
D00032,163,365,0.7,1140,370,170,JL
D00032,165,360,0.7,1130,360,170,JL
D00032,162,360,0.65,1135,365,170,JL
D00032,162,365,0.65,1135,365,170,JL
D00032,162,365,0.65,1140,370,170,JL
D00032,162,365,0.65,1140,370,170,JL
D00032,162,365,0.65,1140,370,170,JL
D00032,162,365,0.7,1150,370,170,JL
D00032,150,335,0.6,1080,320,160,JL
D00032,150,335,0.6,1160,350,160,JL
D00032,150,335,0.6,1080,320,160,JL
D00032,160,345,0.65,1160,350,170,JL
D00032,161,365,0.65,1150,370,172,JL
D00032,163,365,0.65,1130,355,170,JL
D00032,163,365,0.65,1150,355,170,JL
D00033,1006,257,0.6,1180,350,170,JL
D00033,965,285,0.6,1170,340,160,JL
D00033,950,285,0.6,1160,345,160,JL
D00033,965,295,0.6,1170,360,160,JL
D00033,950,285,0.6,1160,345,160,JL
D00033,970,285,0.6,1160,345,160,JL
D00033,970,285,0.6,1160,345,175,JL
D00033,1020,285,0.6,1160,345,180,JL
D00033,1065,285,0.6,1160,345,170,JL
D00033,930,285,0.6,1160,345,155,JL
D00033,945,285,0.6,1160,345,160,JL
D00033,985,265,0.6,1180,350,160,JL
D00033,965,285,0.6,1160,345,165,JL
D00033,985,285,0.6,1160,345,170,JL
D00033,1020,285,0.7,1200,350,170,JL
D00033,970,285,0.7,1200,350,162,JL
D00033,1020,210,0.7,1185,370,175,JL
D00033,970,255,0.7,1080,450,160,JL
D00033,970,255,0.7,1120,480,160,JL
D00033,980,280,0.6,1180,350,160,JL
D00033,1015,300,0.6,1150,365,170,JL
D00033,900,290,0.7,1165,370,150,JL
D00033,970,295,0.6,1160,365,160,JL
D00033,970,285,0.6,1160,345,160,JL
D00033,980,270,0.6,1170,300,165,JL
D00033,955,280,0.6,1140,310,160,JL
D00035,500,260,0.6,1200,360,160,JL
D00035,530,260,0.6,1210,360,160,JL
D00035,610,245,0.6,1300,390,190,JL
D00035,605,290,1.3,1260,360,190,JL
D00035,605,260,1.2,1280,350,190,JL
D00035,550,270,1.1,1190,360,170,JL
D00038,990,320,0.6,1230,370,185,JL
D00038,890,305,0.8,1220,380,180,JL
D00038,980,360,0.6,1190,320,168,JL
D00038,890,325,0.6,1190,320,168,JL
D00039,965,240,0.7,1220,490,170,JL
D00039,965,240,0.7,1220,490,165,JL
D00039,1040,240,0.55,1220,490,165,JL
D00039,970,240,0.7,1230,490,165,JL
D00039,965,240,0.7,1220,490,167,JL
D00039,915,240,0.7,1230,490,180,JL
D00039,970,240,0.7,1270,490,200,JL
D00039,970,240,0.7,1225,485,192,JL
D00039,995,240,0.6,1250,510,165,JL
D00039,1000,240,0.7,1250,510,165,JL
D00039,980,240,0.7,1250,510,160,JL
D00039,965,240,0.7,1220,490,167,JL
D00039,968,240,0.7,1250,510,157,JL
D00039,965,240,0.7,1220,490,164,JL
D00039,965,240,0.7,1220,490,164,JL
D00039,955,240,0.7,1220,490,164,JL
D00039,965,240,0.7,1220,490,166,JL
D00039,920,255,0.7,1225,450,192,JL
D00039,1100,335,0.7,1230,490,192,JL
D00039,970,240,0.7,1230,490,192,JL
